Camp Name,Date Range,Days,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Private 30-min,Starts 5/11/2026,Thursday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Thursday,3:45 PM,Private 15-min,3:45 PM – 4:00 PM,1,1,0,1:1
Clownfish,,Thursday,4:00 PM,Clownfish (Beginner),4:00 PM – 4:30 PM,3,3,0,3:1
Dolphin,Starts 5/11/2026,Thursday,4:00 PM,Dolphin (Intermediate),4:00 PM – 4:30 PM,4,4,0,4:1
Guppy,,Thursday,4:00 PM,Guppy (Beginner),4:00 PM – 4:30 PM,3,3,0,3:1
Tiger,,Thursday,4:00 PM,Tiger (Intermediate),4:00 PM – 4:30 PM,4,4,0,4:1
Private 15-min,,Thursday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Thursday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 15-min,,Thursday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 30-min,,Thursday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,1,1,0,1:1
