Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Tuesday,11:00 AM,Adult 1 (A1),11:00 AM – 11:30 AM,3,3,0,3:1
Thursday,4:15 PM,Backfloat Baby 1 (BB1),4:15 PM – 4:45 PM,5,5,0,5:1
Thursday,4:45 PM,Backfloat Baby 1 (BB1),4:45 PM – 5:15 PM,5,5,0,5:1
Thursday,5:45 PM,Backfloat Baby 1 (BB1),5:45 PM – 6:15 PM,5,5,0,5:1
Thursday,6:15 PM,Backfloat Baby 1 (BB1),6:15 PM – 6:45 PM,5,5,0,5:1
Thursday,5:15 PM,Backfloat Baby 2 (BB2),5:15 PM – 5:45 PM,4,5,1,5:1
Thursday,4:00 PM,Little 1 (L1),4:00 PM – 4:30 PM,3,3,0,3:1
Thursday,4:30 PM,Little 1 (L1),4:30 PM – 5:00 PM,3,3,0,3:1
Thursday,5:00 PM,Little 1 (L1),5:00 PM – 5:30 PM,2,3,1,3:1
Thursday,5:30 PM,Little 1 (L1),5:30 PM – 6:00 PM,2,3,1,3:1
Thursday,5:45 PM,Little 1 (L1),5:45 PM – 6:15 PM,3,3,0,3:1
